Country_Code,Year,Country_Name,FEC_Mtoe,FEC_FF55_Target_Mtoe,FEC_Impl_Gap_Mtoe,FEC_Impl_Gap_Pct,GHG_MtCO2eq,GHG_FF55_Target_Mt,GHG_Impl_Gap_Mt,GHG_Impl_Gap_Pct,RES_Share_Pct,RES_FF55_Target_Pct,RES_Impl_Gap_Pct,GDP_per_capita_PPP,Population,Composite_Gap_Score,Composite_Rank_Desc
AT,2005,Austria,26.29,21.6104,4.6796,17.8,96.4267,36.0799,60.3468,62.5831,24.353,57.0,-32.647,34787.5,8227829,-0.6688,16.0
AT,2006,Austria,26.37,21.6104,4.7596,18.0494,93.9886,36.0799,57.9087,61.6125,26.276,57.0,-30.724,37399.1,8268641,-0.5812,15.0
AT,2007,Austria,25.95,21.6104,4.3396,16.723,91.0048,36.0799,54.925,60.3539,28.144,57.0,-28.856,39195.2,8295487,-0.4314,13.0
AT,2008,Austria,25.98,21.6104,4.3696,16.8192,90.5976,36.0799,54.5177,60.1757,28.788,57.0,-28.212,41046.5,8321496,-0.4087,15.0
AT,2009,Austria,25.17,21.6104,3.5596,14.1423,82.997,36.0799,46.9171,56.5287,31.039,57.0,-25.961,40674.5,8343323,-0.1328,15.0
AT,2010,Austria,26.47,21.6104,4.8596,18.359,89.121,36.0799,53.0412,59.5159,31.205,57.0,-25.795,41751.8,8363404,-0.3663,15.0
AT,2011,Austria,25.62,21.6104,4.0096,15.6504,87.33,36.0799,51.2501,58.6856,31.552,57.0,-25.448,44187.8,8391643,-0.2336,16.0
AT,2012,Austria,25.69,21.6104,4.0796,15.8802,83.9774,36.0799,47.8976,57.0363,32.734,57.0,-24.266,46176.6,8429991,-0.1536,16.0
AT,2013,Austria,26.24,21.6104,4.6296,17.6434,84.4903,36.0799,48.4105,57.2971,32.665,57.0,-24.335,47534.2,8479823,-0.2248,19.0
AT,2014,Austria,25.18,21.6104,3.5696,14.1764,80.8206,36.0799,44.7408,55.3581,33.55,57.0,-23.45,48369.0,8507786,-0.0234,19.0
AT,2015,Austria,25.92,21.6104,4.3096,16.6266,82.2617,36.0799,46.1818,56.1401,33.497,57.0,-23.503,49638.4,8584926,-0.1295,18.0
AT,2016,Austria,26.59,21.6104,4.9796,18.7274,82.7008,36.0799,46.6209,56.373,33.37,57.0,-23.63,52379.0,8700471,-0.2146,20.0
AT,2017,Austria,26.94,21.6104,5.3296,19.7833,84.8577,36.0799,48.7778,57.4819,33.136,57.0,-23.864,53884.9,8772865,-0.2939,20.0
AT,2018,Austria,26.54,21.6104,4.9296,18.5743,81.7926,36.0799,45.7127,55.8885,33.784,57.0,-23.216,56654.5,8822267,-0.1824,19.0
AT,2019,Austria,26.82,21.6104,5.2096,19.4244,83.1342,36.0799,47.0544,56.6005,33.755,57.0,-23.245,60370.5,8858775,-0.2351,22.0
AT,2020,Austria,24.93,21.6104,3.3196,13.3158,76.9727,36.0799,40.8928,53.1264,36.545,57.0,-20.455,58522.9,8901064,0.1554,21.0
AT,2021,Austria,26.41,21.6104,4.7996,18.1735,80.0781,36.0799,43.9982,54.9441,34.792,57.0,-22.208,62998.8,8932664,-0.1107,21.0
AT,2022,Austria,25.31,21.6104,3.6996,14.6172,76.0792,36.0799,39.9994,52.576,34.075,57.0,-22.925,70865.6,8978929,0.051,25.0
