Country_Code,Country,Cluster,Cluster_Name,GHG_proj,GHG_ci_lo,GHG_ci_hi,GHG_target,GHG_gap,GHG_on_track,GHG_r2_full,GHG_r2_post,GHG_w,GHG_window,FEC_proj,FEC_ci_lo,FEC_ci_hi,FEC_target,FEC_gap,FEC_on_track,FEC_r2_full,FEC_r2_post,FEC_w,FEC_window,RES_proj,RES_ci_lo,RES_ci_hi,RES_target,RES_gap,RES_on_track,RES_r2_full,RES_r2_post,RES_w,RES_window
FR,France,1,Large Emitters,347.443,326.873,368.013,238.905,108.538,False,0.943,0.845,0.943,full,129.307,121.358,137.257,106.839,22.468,False,0.726,0.703,0.726,full,29.541,26.557,32.524,33.0,-3.459,False,0.958,0.967,0.967,post
IT,Italy,1,Large Emitters,296.124,259.866,332.382,227.093,69.031,False,0.91,0.723,0.91,full,98.002,91.175,104.829,101.959,-3.957,True,0.851,0.412,0.851,full,25.326,22.868,27.785,39.4,-14.074,False,0.883,0.62,0.883,full
PL,Poland,1,Large Emitters,334.355,304.48,364.229,231.055,103.3,False,0.546,0.501,0.546,full,73.217,67.451,78.982,58.504,14.713,False,0.718,0.264,0.718,full,21.162,19.715,22.609,29.8,-8.638,False,0.952,0.837,0.952,full
ES,Spain,1,Large Emitters,226.95,192.07,261.83,132.546,94.404,False,0.873,0.76,0.873,full,76.122,67.896,84.348,71.699,4.424,False,0.545,0.016,0.545,full,28.587,26.74,30.435,48.0,-19.413,False,0.957,0.904,0.957,full
BE,Belgium,2,Heterogeneous Middle,99.634,93.577,105.691,63.258,36.376,False,0.904,0.877,0.904,full,30.548,28.51,32.586,29.915,0.634,False,0.425,0.628,0.628,post,18.844,17.64,20.048,21.7,-2.856,False,0.973,0.928,0.973,full
BG,Bulgaria,2,Heterogeneous Middle,48.012,40.927,55.097,45.34,2.672,False,0.562,0.511,0.562,full,9.517,8.647,10.386,8.793,0.724,False,0.079,0.138,0.138,post,37.252,30.514,43.989,35.0,2.252,True,0.883,0.437,0.883,full
HR,Croatia,2,Heterogeneous Middle,22.29,19.841,24.739,14.774,7.516,False,0.529,0.064,0.529,full,7.375,6.628,8.122,6.605,0.77,False,0.079,0.498,0.498,post,111.03,56.131,165.928,42.5,68.53,True,0.636,0.009,0.636,full
CY,Cyprus,2,Heterogeneous Middle,7.974,7.042,8.906,2.512,5.463,False,0.118,0.436,0.436,post,1.813,1.59,2.035,1.795,0.017,False,0.077,0.095,0.095,post,31.84,26.98,36.701,33.0,-1.16,False,0.949,0.952,0.952,post
CZ,Czechia,2,Heterogeneous Middle,98.16,89.252,107.068,89.812,8.348,False,0.892,0.821,0.892,full,23.362,21.919,24.805,20.404,2.958,False,0.251,0.136,0.251,full,25.699,23.721,27.677,30.0,-4.301,False,0.964,0.933,0.964,full
EE,Estonia,2,Heterogeneous Middle,3.224,-7.423,13.87,20.524,-17.3,True,0.416,0.76,0.76,post,2.791,2.616,2.965,2.6,0.191,False,0.196,0.068,0.196,full,56.499,49.184,63.814,65.0,-8.501,False,0.936,0.854,0.936,full
