Country_Code,Country,Cluster,Cluster_Name,GHG_ind_proj,GHG_blended_proj,GHG_ci_lo,GHG_ci_hi,GHG_target,GHG_gap,GHG_on_track,GHG_ind_r2,GHG_w,GHG_proj_shift,FEC_ind_proj,FEC_blended_proj,FEC_ci_lo,FEC_ci_hi,FEC_target,FEC_gap,FEC_on_track,FEC_ind_r2,FEC_w,FEC_proj_shift,RES_ind_proj,RES_blended_proj,RES_ci_lo,RES_ci_hi,RES_target,RES_gap,RES_on_track,RES_ind_r2,RES_w,RES_proj_shift
FR,France,1,Large Emitters,347.481,347.443,326.873,368.013,238.905,108.538,False,0.943,0.943,-0.038,126.647,129.307,121.358,137.257,106.839,22.468,False,0.726,0.726,2.661,25.917,25.974,24.384,27.564,33.0,-7.026,False,0.958,0.958,0.057
IT,Italy,1,Large Emitters,292.922,296.124,259.866,332.382,227.093,69.031,False,0.91,0.91,3.202,95.684,98.002,91.175,104.829,101.959,-3.957,True,0.851,0.851,2.318,25.293,25.326,22.868,27.785,39.4,-14.074,False,0.883,0.883,0.033
PL,Poland,1,Large Emitters,358.257,334.355,304.48,364.229,231.055,103.3,False,0.546,0.546,-23.902,77.32,73.217,67.451,78.982,58.504,14.713,False,0.718,0.718,-4.103,21.17,21.162,19.715,22.609,29.8,-8.638,False,0.952,0.952,-0.008
ES,Spain,1,Large Emitters,223.066,226.95,192.07,261.83,132.546,94.404,False,0.873,0.873,3.885,72.836,76.122,67.896,84.348,71.699,4.424,False,0.545,0.545,3.286,28.645,28.587,26.74,30.435,48.0,-19.413,False,0.957,0.957,-0.058
BE,Belgium,2,Heterogeneous Middle,99.994,99.634,93.577,105.691,63.258,36.376,False,0.904,0.904,-0.36,31.841,32.718,30.79,34.646,29.915,2.804,False,0.425,0.425,0.878,18.534,18.844,17.64,20.048,21.7,-2.856,False,0.973,0.973,0.31
BG,Bulgaria,2,Heterogeneous Middle,48.998,48.012,40.927,55.097,45.34,2.672,False,0.562,0.562,-0.986,9.914,9.409,8.513,10.305,8.793,0.616,False,0.079,0.079,-0.504,28.581,37.252,30.514,43.989,35.0,2.252,True,0.883,0.883,8.671
HR,Croatia,2,Heterogeneous Middle,23.566,22.29,19.841,24.739,14.774,7.516,False,0.529,0.529,-1.276,6.697,6.783,6.201,7.364,6.605,0.178,False,0.079,0.079,0.086,32.36,111.03,56.131,165.928,42.5,68.53,True,0.636,0.636,78.67
CY,Cyprus,2,Heterogeneous Middle,8.575,7.239,5.991,8.488,2.512,4.728,False,0.118,0.118,-1.336,1.728,1.775,1.558,1.992,1.795,-0.02,True,0.077,0.077,0.047,25.81,26.529,24.035,29.024,33.0,-6.471,False,0.949,0.949,0.719
CZ,Czechia,2,Heterogeneous Middle,97.686,98.16,89.252,107.068,89.812,8.348,False,0.892,0.892,0.474,22.878,23.362,21.919,24.805,20.404,2.958,False,0.251,0.251,0.484,23.643,25.699,23.721,27.677,30.0,-4.301,False,0.964,0.964,2.056
EE,Estonia,2,Heterogeneous Middle,15.17,16.896,10.15,23.642,20.524,-3.628,True,0.416,0.416,1.725,2.741,2.791,2.616,2.965,2.6,0.191,False,0.196,0.196,0.05,47.299,56.499,49.184,63.814,65.0,-8.501,False,0.936,0.936,9.199
GR,Greece,2,Heterogeneous Middle,45.766,46.609,39.833,53.386,44.232,2.377,False,0.965,0.965,0.843,12.101,13.509,10.935,16.083,15.198,-1.688,True,0.723,0.723,1.408,31.035,32.195,30.375,34.016,43.0,-10.805,False,0.978,0.978,1.16
HU,Hungary,2,Heterogeneous Middle,58.237,55.226,47.515,62.937,43.393,11.833,False,0.514,0.514,-3.011,17.683,17.019,15.496,18.542,17.711,-0.692,True,0.02,0.02,-0.664,19.506,42.273,26.017,58.529,30.0,12.273,True,0.611,0.611,22.767
IE,Ireland,2,Heterogeneous Middle,55.763,54.939,50.212,59.666,26.528,28.41,False,0.781,0.781,-0.824,11.246,11.585,10.219,12.95,10.492,1.093,False,0.098,0.098,0.339,20.024,20.664,18.997,22.332,43.0,-22.336,False,0.958,0.958,0.641
LT,Lithuania,2,Heterogeneous Middle,22.423,20.06,17.489,22.631,21.875,-1.815,True,0.272,0.272,-2.363,5.78,5.46,5.007,5.912,4.399,1.06,False,0.576,0.576,-0.32,36.981,46.137,39.318,52.956,55.0,-8.863,False,0.936,0.936,9.156
LU,Luxembourg,2,Heterogeneous Middle,6.68,6.784,5.942,7.626,5.819,0.965,False,0.918,0.918,0.104,3.527,3.729,3.361,4.097,3.176,0.553,False,0.585,0.585,0.202,17.596,17.843,14.834,20.853,37.0,-19.157,False,0.871,0.871,0.247
MT,Malta,2,Heterogeneous Middle,1.519,1.642,1.15,2.134,1.134,0.508,False,0.68,0.68,0.123,0.786,0.745,0.669,0.822,0.795,-0.05,True,0.819,0.819,-0.041,19.948,19.141,16.555,21.727,24.5,-5.359,False,0.937,0.937,-0.807
NL,Netherlands,2,Heterogeneous Middle,137.545,138.852,123.367,154.337,100.718,38.134,False,0.868,0.868,1.307,38.795,40.252,37.067,43.437,38.42,1.832,False,0.825,0.825,1.457,20.177,22.207,17.774,26.641,39.0,-16.793,False,0.811,0.811,2.03
RO,Romania,2,Heterogeneous Middle,89.122,89.11,76.911,101.308,108.456,-19.347,True,0.735,0.735,-0.012,23.737,22.701,20.847,24.554,22.501,0.2,False,0.059,0.059,-1.036,28.689,74.125,42.362,105.888,38.3,35.825,True,0.714,0.714,45.436
